rsu_id,ctrl_shared_key_hex
0,3669753d94b345d674a58b0d038dccdb35a43b35755ba28b0548c9dca599a46e
1,5599e46900b57a77dc5135c89ac3f68ceca1a868b9d1e7aac1438ce6ac24f73f
2,c82079dd7a4b6dd3d06024fa5a675c1f1e16e82fe36a5bec6c7a673dbd4c94e3
3,32d4a9f1576c96798989694e3e14a3252053cd72b2d71cc5b0f58c325f51bef9
4,ae6271f93f7e8455657a34389a6e11421de71a4c078c66da7bb0b3ca0fbcb6b2
5,1a2b64a939fae6f1692625fc59714d2e6509862a434a73cd6c74264177b1412f
6,77cfb0a71d8dc4b458457bf92ff0cea55b576ad24cca081817d8b8cfcc633bc7
7,c3fe18f6e7775024c54fc94e60e5680131563364afbd93a7dfaa8cc9d8764d5f
8,1d062ff1faf6ca5189d4a3909a7f8784bd346e332555fc43762cf1ef73f9e1cf
9,7618f71c630739456ff9e910c897a5aa7543500b7c43c333976b88f282a1e598
10,826c4505a8d7aa9336fd053e2084ea46c371950f36c525d34f3a3b50cce73ec2
11,342b5e71e9511f6c51c1ad92b01618e2c351d290383f49dce0b521a216ce1d0a
12,4130ae7b854c37089de0dada6f35cd06351537baf6aa1bf3753df76f781e7dbb
13,0e7d20a885821863575ef4038288b00862990cb6863c532b6b2de4bb197ecca0
14,a3b8f672d536b680088e73436c3afd2cdd71885a65cd10dd8fd530a24b593948
15,d64dc15c2fc6d1237757384390bf8225c5ec5976d1f80232c194e5d517e24ad8
16,1bf96c35ba7ec4a70f0fdb540b25672b6e4158120c1ef5a29667ce8d4423e1f5
17,782244bbb1a4c52d3f1ca850989c5f058deb5441c7cae7bfb2d9da848ef54d5c
18,9d5ce403faab905b47171d27123d510c7030ad30236fffe688b2a306ab8d47a0
19,79fdb668a2c1039677ad4b81b28363d9bb41c91bf52e8bdc0e42caf08b6a3d2b
20,af13460fc04ac298278fc13a21bd45b5c6605dc2850a8908fe89d849d34330c9
21,0d8b121fbf1e1c5a347bab51d55659865f504b183fe0a92ab91ff10bab5443d7
22,7e4dcca9832e2e26b94effdeb34ea15da8f8ed96eff0dcf9fd9ce9fa63de3c35
23,e5753a59b3de0f9335d9807faac42accb3213b062454c5c78655d51b9301f96e
24,1d513b42331b1d4461c800fad328b2bdf6438dd797183225cc17708f2921ccf7
25,e621281c8e78efbebf7635ec39ef2eac1f0fdd5cf8621f1deabb6eb6b0732ad2
26,102eea62eb899865a9e4e36405666aa17938594c30a20e887bfc5f1b188a40cd
27,76e4223f8161e1ec951855f9323433401da20efe78099d61c184ec68eda07e6a
28,094dd180249b491fa4862d29ebbf39c14f7cfbf46c7455a200ff6eac636b68a4
29,5396951e04c9ee216e205cfa73735613c2dcffb0251ae012906215a3a9f39e0c
30,7252c510760b9c048de24a40bf944ed16e3cfa981f58a6ff4533eb6f164a5c79
31,60ccebc6d1b1c113f52744c72db3062e16d0b17d3f3373f5c170933da1dae9e3
32,c0f61ec2bce6f66b98309e1c79376739c271ddc7fd8981d667f1ef7f7269dfd5
33,e4a44c7bbc3edef033c8c1d3f428a575ea5d7c38a04a1deccadfcedd9dbcb6a0
34,5e91b391599ff63f2392b63477508c2b1c157e27c82adfcc5a2542ab80735ac9
35,b273e335eb00cffbdd7f6d698f333c6e9ea6ec2097c0478da7a907e58f91b4d6
36,ed5e5b2c7a61c29497251a1ae7afcefb851b58b849985a93e3b5144326c2e68e
37,613f80ee0599a1d0bd4bfc24f8d417b3a75aa95bfe66e2ebebaf321580aebe0e
38,ef0a9e751eb540fcbdb826030bfb76a51aee63fb745aca3e3c1e70ffa6e1595b
39,f25b659f82f3cda009801aae01c2d409c458fbf65d23eae9156cdaa912f04d7e
40,9b26c6637779373ab80e6822a1b432ce8c8aad791a4211806953402627f90556
41,ad48f6f337ce1a46767937592dedfc230ec7af07a18ccd724f5cc39f37407f00
42,ae4a7667ac003376c4e7a89423410b3286e357e74f39d39f9c4c843a9147dac0
43,7236637312a11e8daf1865be8f28f68248f0c04c71469af9893eed93518ca569
44,f25f43f843e6f9c4e4aa700d1b01e585b07f14c0f1f76f082615ac1ef7d836a5
45,4b4b8c94da3dfc0604e63fa8ec57ad0d1d63ee8850762731420ca369deba2efc
46,631a1497e8bd04d6d6420c8f4978cb7834807bf337310c106819d202da06e80f
47,bdf5ec18e60bdf5aaeca3bccdabb4e91ce35fbde9b41365e335affe35c5ef4f8
48,bf81206c881d498392281be6804def0096307d51b81039779eba5c703fd5ac79
49,ed13eb9c12651cb1a6e643777c59898fd7c8a22acc2be45f5f2d8993e57182ea
50,b27ebb67900032079245022433d256762410c08cdf436145ae1c7a977e25b302
51,74bb7e7569fe1407a27615516462b6c2d8b596bbf27f1a2b17ef08728e4bf8a3
52,aa13ff23c9b61f0709153d9b0d75820a4d01ff2bc768c757baea8b801b384113
53,05ea1d6f147d19f018007c736c82e06096c6363fe91a22fa7d0c574b46d4d0ca
54,f541ec247332ea76ff7b41ebde1a507702f1b7f8e1715425ce6386419067a1df
55,fef4545536b841529f651f63ea106fd2f64ac61369255176d1b528dad946de97
56,c31a332a2f6cbed3bcb60ab5ccde3f5fcc6f64c48e537aff5ddc9ebe90fb394b
57,86ae911d7c833e40d7dc83c669100d47c866334da19fd24d8fdcfaf82a06dbcf
