vehicle_id,vin_hex
0,6de2690519d08925
1,23cafb95410054a8
2,79942f1f013e7ffb
3,56d5acb5a7c694a9
4,e3f9e738b75af4fe
5,1bb5f471f500302f
6,33790d0f8cf51399
7,052193ec0cc86bb1
8,a827c8bbc0aea0e1
9,d1a031e8f5fae7f5
10,f03542cad56cb2ed
11,942f6f4a22d609c8
12,1a602156e21a5040
13,a2cc23cf15a9686b
14,f95d8abda5ddad81
15,1aaa3567d2aee0f7
16,980ef57ff460fabc
17,eebd5de6de49f8d1
18,32fe6c453cd0f439
19,c675a8272367b31e
20,9da7254f19dd72cc
21,4846e16f10566541
22,c9b20d0300dec36d
23,fab9ddb7f0aaddc4
24,893e257dc8e51944
25,fe9745bf08c77f66
26,2994f7b94c24b23f
27,58526ee0a0ef38db
28,1e2a5bc7521592c7
29,19bbeac7de9f521b
30,406b333c6cece3b7
31,a30c404ae4890e8c
32,acfc00bf6fcd031b
33,c1d3461b3b7879ab
34,82bf6bea49f706f5
35,7987d3fc1c4f6d26
36,d54f7e42f6546966
37,f347a7a3dd829be1
38,742d641e51a1b20a
39,3419df137c4176c3
40,9cc3eaac5efb067a
41,3fd5ad4bf5340f66
42,5887136e7b1e6f3d
43,ded181b103a5c4cf
44,b373b9f7dada016c
45,eb55598425ea526d
46,5ab49f8f8d351d5f
47,1a7858f2a3506466
48,94ef51adc53fe382
49,0eafa9aad5dd37c1
50,734785864fe9e72e
51,f817f5ef0d80a59b
52,b1bee826c29f00b1
53,2719412d0d89bb71
54,2ee129a256ac34a4
55,f672f274f5935c02
56,7f7ca165645d2f13
57,f8835d9553970e07
58,b5737906d97aac4f
59,b4c8d7f10f3b9608
60,10eb9b1fdf3d9257
61,c601dc5908b0785a
62,4c78963a6ec4ca51
63,980d1a515fd3ee70
64,6b1dbfa5b258bb5c
65,42e74ff4449f13e0
66,75016443a8389b2c
67,aee90963036a8d99
68,266d9f35347d2795
69,639540c9b20160c7
70,e37195068fcd696d
71,199acfd33861501c
72,a1ff4f99c434bd7d
73,f08f454482266f94
74,ad66dc044b388bdc
75,f9b86e926986d436
76,12d86b25261e3a45
77,4783012d7544b67c
78,18568f35fd4a8142
79,f1e5143574d685bd
80,22b48d4a16e10631
81,9174e44fe3ebdbd4
82,61229cef4d196eac
83,4314dac9953ca307
84,af3a1a84e68bf772
85,35926ced4fa96648
86,ff2bc9d24c4cf083
87,ae57cc6a5641e751
88,6d5ced13f6175ba1
89,49acc3b3fa937b42
90,920e15a9317b5398
91,0b131527fcdffe8e
92,9f687863448a220d
93,e0ab7c08ebfa267f
94,63128ac23e3581bd
95,00f7d1cf65ae582c
96,66b07f292c67211c
97,d326398ced2da89c
98,a7b3af380ae8fa2d
99,6b6e2a255f74576c
100,3f1e3e7e89fa2ece
101,a7d0a7d7bb996f49
102,cfd213d4289e8bc1
103,a539aa48aa9ad827
104,7fbdbf0b795591e6
105,3f1dfaf767bfeea9
106,d0d9bfaa12c94ed6
107,809e8d2700edf41d
108,780868b197a45c41
109,4fdc5b83c3ad8166
110,e435c97b9bb40ea6
111,2e2cfb8414bb2e0f
112,97823bbb577c70e2
113,58206f52659b7e90
114,052d342a3c194b47
115,9859fdca00f6aafe
116,72968eb7627e71cd
117,57341669520bcd78
118,b0e8292529a86b04
119,3acea54da3c37b89
120,da2eeed4feaf287d
121,413f4df1f7015a7b
122,e8ef8be86d5ffcb6
123,38bbde68de989ab2
124,2bf4e3d15eb66bf0
125,d4878ba24ef0ce07
126,9f545a0d02997d4e
127,5f83e8b55baa5061
128,ca82495824c6fe96
129,d112d316071a2bc6
130,15afc63fd16cfdd3
131,a05c6a5d7e6ceae9
132,8eb688eba1e2c7b2
133,146855998414aaed
134,b0501adf07a112c0
135,a254aabbc6d98bfd
136,3cda4623cee49d13
137,413f8b9eb123b26f
138,b4f273b3045c8fdb
139,8b065a41de51baed
140,050d624352577f4d
141,69e07308f2c919ad
142,b251341bde90e7b2
143,e1d401286d9c327a
144,79cb6b746f5c171b
145,c56e42447f0ea85c
146,e3f50fe813e691d4
147,1571d3b1e840555b
148,aab4ca3e22f36731
149,3db733f96f655da4
150,451dc821d349566f
151,8d24a6b0f82f3eac
152,74c1d13e1e8a7e11
153,d83d7f5a0723d0c6
154,98a5410578fccdd1
155,af3cf39fb0c50a2e
156,1bde1b8797232d45
157,a2d074ba4d30e1f0
158,5b2addc28771e28a
159,76e7f71095487d37
160,2c657341e7233c35
161,0351bcb3958f2e60
162,4a90cf6074ffd9c3
163,b3adaf03e0d6efe5
164,cf7db651065b4027
165,b8a852e79da7ed88
166,0b3ea800369d227e
167,9bb3eeef782d9d17
168,92bd6111adcfdc7e
169,ba3819571a648661
170,4c9896ef552e5bf4
171,a325b23c8bb847ca
172,5489a950d10220c3
173,84eb8ca30949da4a
174,f76ec88cf8923259
175,2a61d77b326c8c6c
176,35975ba458ae3690
177,cafea0492b982c70
178,f356a1ad780ae5d7
179,aff6bacb905d6f6e
180,6409225610e069a9
181,4f8da77de08e3ca2
182,4c480224e47c3c3d
183,c2f85361358cf195
184,0704d96bd7f0f713
185,53e1adc2bf19f961
186,698f03bd7e5a8fc1
187,f0064c988a4cf065
188,19ace5dca87c8c30
189,10b5c907ba94c0fb
190,80123f6015b767b8
191,3f96f15552d613ac
192,876c946df940db7c
193,22217caaf59069b3
194,bf871a4bc7dc7d5e
195,9b2b1820925ef423
196,018aab040c529c3e
197,822371433ba977cd
198,3b187e6d6ad13efc
199,b451d838efe44231
