rsu_id,x,y
0,102.28,163.27
1,306.85,163.27
2,511.41,163.27
3,715.98,163.27
4,920.54,163.27
5,1125.11,163.27
6,1329.67,163.27
7,1534.24,163.27
8,1738.80,163.27
9,1943.37,163.27
10,2147.93,163.27
11,2352.50,163.27
12,102.28,489.80
13,306.85,489.80
14,511.41,489.80
15,715.98,489.80
16,920.54,489.80
17,1125.11,489.80
18,1329.67,489.80
19,1534.24,489.80
20,1738.80,489.80
21,1943.37,489.80
22,2147.93,489.80
23,2352.50,489.80
24,102.28,816.33
25,306.85,816.33
26,511.41,816.33
27,715.98,816.33
28,920.54,816.33
29,1125.11,816.33
30,1329.67,816.33
31,1534.24,816.33
32,1738.80,816.33
33,1943.37,816.33
34,2147.93,816.33
35,2352.50,816.33
36,102.28,1142.87
37,306.85,1142.87
38,511.41,1142.87
39,715.98,1142.87
40,920.54,1142.87
41,1125.11,1142.87
42,1329.67,1142.87
43,1534.24,1142.87
44,1738.80,1142.87
45,1943.37,1142.87
46,2147.93,1142.87
47,2352.50,1142.87
48,102.28,1469.40
49,306.85,1469.40
50,511.41,1469.40
51,715.98,1469.40
52,920.54,1469.40
53,1125.11,1469.40
54,1329.67,1469.40
55,1534.24,1469.40
56,1738.80,1469.40
57,1943.37,1469.40
58,2147.93,1469.40
59,2352.50,1469.40
60,102.28,1795.94
61,306.85,1795.94
62,511.41,1795.94
63,715.98,1795.94
64,920.54,1795.94
65,1125.11,1795.94
66,1329.67,1795.94
67,1534.24,1795.94
68,1738.80,1795.94
69,1943.37,1795.94
70,2147.93,1795.94
71,2352.50,1795.94
72,102.28,2122.47
73,306.85,2122.47
74,511.41,2122.47
75,715.98,2122.47
76,920.54,2122.47
77,1125.11,2122.47
78,1329.67,2122.47
79,1534.24,2122.47
80,1738.80,2122.47
81,1943.37,2122.47
82,2147.93,2122.47
83,2352.50,2122.47
84,102.28,2449.00
85,306.85,2449.00
86,511.41,2449.00
87,715.98,2449.00
88,920.54,2449.00
89,1125.11,2449.00
90,1329.67,2449.00
91,1534.24,2449.00
92,1738.80,2449.00
93,1943.37,2449.00
94,2147.93,2449.00
95,2352.50,2449.00
