rsu_id,x,y
0,3437.01,1177.99
1,3534.30,1399.98
2,3464.59,1240.94
3,3502.68,1327.84
4,3512.93,543.08
5,3585.46,507.02
6,3681.89,486.54
7,3781.59,479.68
8,4728.82,1520.49
9,4647.61,1468.33
10,4550.57,1449.20
11,4450.59,1451.14
12,4351.01,1459.96
13,4252.55,1475.13
14,4152.59,1472.31
15,3796.01,649.27
16,3848.41,564.48
17,3222.32,914.66
18,3171.15,1262.11
19,3750.14,798.76
20,3679.54,806.09
21,3502.37,1439.99
22,3422.65,1381.41
23,3147.49,1411.95
24,3217.69,1341.58
25,3057.27,1352.65
26,3815.88,1441.14
27,3845.85,1345.73
28,3827.76,289.88
29,3905.00,218.65
30,3897.41,295.13
31,3731.78,354.75
32,3678.70,286.47
33,3619.35,870.90
34,3483.41,1061.29
35,4092.97,631.42
36,3118.45,1001.21
37,3122.86,1100.26
38,3051.77,1135.08
39,3883.09,450.00
40,3484.70,766.48
41,3563.60,827.77
42,3793.83,985.53
43,3763.40,1080.79
44,3838.95,837.94
45,3238.19,1193.82
46,4217.57,1138.69
47,4117.74,1143.53
48,4308.26,1098.00
49,4168.19,581.18
50,4079.99,563.21
51,4090.68,1193.04
52,3267.39,864.10
53,3716.88,231.51
54,3761.39,278.99
55,3799.79,331.82
56,3281.76,1252.03
57,3349.78,1315.79
58,3583.26,401.69
59,3147.13,361.27
60,3227.80,302.18
61,4218.66,346.02
62,4728.91,623.32
63,4699.39,718.86
64,4666.52,813.28
65,4632.19,907.20
66,4601.86,1002.48
67,4569.23,1097.00
68,4510.78,1175.29
69,4421.68,1217.92
70,4325.44,1245.10
71,4226.85,1258.00
72,4126.99,1253.60
73,4027.19,1247.23
74,3933.29,1233.91
75,3854.76,1172.01
76,3696.91,1049.21
77,3618.00,987.79
78,3538.29,927.40
79,3458.58,867.01
80,3374.64,813.87
81,3286.66,768.07
82,3210.52,703.24
83,3156.43,621.11
84,3111.58,531.73
85,3041.22,464.53
86,2946.33,478.57
87,2855.76,520.97
88,4334.44,330.31
89,4215.72,407.28
90,3648.76,403.90
91,3413.30,564.29
92,3832.29,725.24
93,3900.58,689.97
94,3341.06,766.25
95,3558.50,351.82
96,3744.87,1142.52
97,3678.74,1160.52
98,4330.85,892.87
99,4152.96,794.79
100,3495.00,470.62
101,3275.01,959.64
102,3352.75,1022.49
103,3419.55,1077.74
104,3687.35,1441.77
105,3592.14,1468.75
106,3875.60,1125.55
107,3936.41,1049.73
108,4128.42,937.71
109,4052.75,872.35
110,3518.41,414.30
111,3916.92,1501.37
112,3214.54,524.05
113,3110.92,1308.87
114,3847.63,781.32
115,3683.17,689.87
116,3586.46,664.47
117,3912.25,741.69
118,4205.44,943.31
119,4229.44,847.37
120,3969.09,867.82
121,3018.36,152.26
122,3071.50,236.70
123,3093.60,333.81
124,3154.46,412.12
125,3855.75,950.08
126,4260.81,1296.21
127,3947.60,363.58
128,3346.97,1080.77
129,3270.68,1144.65
130,4085.73,1421.47
131,4264.72,442.25
132,4259.20,538.71
133,4055.87,287.95
134,4082.90,335.73
135,4005.40,353.69
136,3837.62,484.93
137,3970.41,617.47
138,4110.72,476.31
139,4122.05,883.32
140,4079.30,778.51
141,3531.52,1269.25
142,3538.65,1036.00
143,3460.60,973.49
144,3382.28,911.32
145,4072.72,1074.88
146,3569.44,1355.76
147,3973.99,943.44
148,4052.00,1006.00
149,2986.65,84.30
150,3807.41,903.73
151,3726.79,1216.82
152,3731.92,1316.29
153,3735.94,1415.52
154,3618.07,923.64
155,3458.06,601.73
156,3350.13,665.10
157,4139.23,739.21
158,2795.71,567.17
159,3800.91,1131.63
160,4445.50,945.01
161,4352.56,981.86
162,3439.52,511.72
163,2856.52,1460.72
164,2955.42,1475.34
165,3054.61,1488.06
166,4137.69,1373.91
167,3861.95,1491.65
168,3527.69,1108.89
169,3631.71,1202.64
170,3672.23,1244.06
171,3561.90,1161.72
172,4018.78,1083.41
173,3611.91,1283.24
174,3446.37,1323.89
175,4256.77,1006.65
176,4304.29,1046.96
177,4147.85,289.44
178,4213.34,513.17
179,4161.44,456.17
180,3641.72,1484.31
181,3480.91,1502.61
182,3222.45,1253.11
183,3313.70,1212.30
184,3286.59,540.59
185,4415.10,870.51
186,3247.72,474.36
187,3807.82,394.12
188,3708.22,402.28
189,4306.29,1186.79
190,3412.35,1246.15
191,3116.59,674.80
192,3200.82,454.49
193,3172.39,1507.98
194,3113.15,868.48
195,4186.59,1001.55
196,4237.10,1079.74
197,4029.85,576.60
198,3958.00,799.72
199,4229.70,680.68
200,4228.13,780.66
201,3195.64,821.27
202,3409.36,774.57
203,3491.50,648.19
204,4155.80,351.79
205,3874.52,371.41
206,3854.51,1614.50
207,3783.84,1487.23
208,3985.51,1456.93
